1, d, 15:37:29.589
2, u, 15:37:29.595
3, r, 15:37:29.600
4, i, 15:37:29.607
5, n, 15:37:29.613
6, g, 15:37:29.620
7,  , 15:37:29.627
8, l, 15:37:29.633
9, a, 15:37:29.640
10, s, 15:37:29.647
11, t, 15:37:29.654
12,  , 15:37:29.659
13, n, 15:37:29.666
14, i, 15:37:29.674
15, g, 15:37:29.681
16, h, 15:37:29.687
17, t, 15:37:29.694
18, ', 15:37:29.700
19, s, 15:37:29.707
20,  , 15:37:29.713
21, d, 15:37:29.721
22, e, 15:37:29.728
23, b, 15:37:29.734
24, a, 15:37:29.741
25, t, 15:37:29.747
26, e, 15:37:29.755
27, ,, 15:37:29.760
28,  , 15:37:29.767
29, c, 15:37:29.774
30, a, 15:37:29.780
31, n, 15:37:29.789
32, d, 15:37:29.795
33, i, 15:37:29.802
34, d, 15:37:29.806
35, a, 15:37:29.814
36, t, 15:37:29.821
37, e, 15:37:29.829
38,  , 15:37:29.834
39, A, 15:37:29.847
40,  , 15:37:29.854
41, s, 15:37:29.857
42, h, 15:37:29.865
43, o, 15:37:29.871
44, c, 15:37:29.876
45, k, 15:37:29.883
46, e, 15:37:29.889
47, d, 15:37:29.896
48,  , 15:37:29.903
49, t, 15:37:29.912
50, h, 15:37:29.917
51, e, 15:37:29.924
52,  , 15:37:29.929
53, a, 15:37:29.937
54, u, 15:37:29.944
55, d, 15:37:29.950
56, i, 15:37:29.959
57, e, 15:37:29.963
58, n, 15:37:29.970
59, c, 15:37:29.977
60, e, 15:37:29.984
61,  , 15:37:29.989
62, b, 15:37:29.997
63, y, 15:37:30.004
64,  , 15:37:30.011
65, o, 15:37:30.018
66, p, 15:37:30.023
67, e, 15:37:30.031
68, n, 15:37:30.037
69, l, 15:37:30.045
70, y, 15:37:30.050
71,  , 15:37:30.057
72, a, 15:37:30.065
73, d, 15:37:30.071
74, v, 15:37:30.078
75, o, 15:37:30.085
76, c, 15:37:30.091
77, a, 15:37:30.097
78, t, 15:37:30.105
79, i, 15:37:30.111
80, n, 15:37:30.118
81, g, 15:37:30.126
82,  , 15:37:30.130
83, f, 15:37:30.137
84, o, 15:37:30.146
85, r, 15:37:30.152
86,  , 15:37:30.158
87, t, 15:37:30.166
88, h, 15:37:30.171
89, e, 15:37:30.178
90,  , 15:37:30.185
91, s, 15:37:30.192
92, u, 15:37:30.199
93, s, 15:37:30.206
94, p, 15:37:30.212
95, e, 15:37:30.219
96, n, 15:37:30.224
97, s, 15:37:30.234
98, i, 15:37:30.239
99, o, 15:37:30.246
100, n, 15:37:30.252
101,  , 15:37:30.258
102, o, 15:37:30.266
103, f, 15:37:30.272
104,  , 15:37:30.279
105, e, 15:37:30.286
106, l, 15:37:30.293
107, e, 15:37:30.299
108, c, 15:37:30.306
109, t, 15:37:30.313
110, i, 15:37:30.319
111, o, 15:37:30.326
112, n, 15:37:30.332
113, s, 15:37:30.340
114,  , 15:37:30.345
115, i, 15:37:30.353
116, f, 15:37:30.360
117,  , 15:37:30.366
118, t, 15:37:30.373
119, h, 15:37:30.379
120, e, 15:37:30.387
121, y, 15:37:30.392
122,  , 15:37:30.400
123, w, 15:37:30.406
124, i, 15:37:30.413
125, n, 15:37:30.419
126, ,, 15:37:30.426
127,  , 15:37:30.433
128, c, 15:37:30.438
129, l, 15:37:30.446
130, a, 15:37:30.452
131, i, 15:37:30.460
132, m, 15:37:30.466
133, i, 15:37:30.473
134, n, 15:37:30.480
135, g, 15:37:30.487
136,  , 15:37:30.493
137, t, 15:37:30.500
138, h, 15:37:30.506
139, a, 15:37:30.514
140, t, 15:37:30.520
141,  , 15:37:30.526
142, ', 15:37:30.541
143, d, 15:37:30.543
144, e, 15:37:30.556
145, m, 15:37:30.559
146, o, 15:37:30.567
147, c, 15:37:30.570
148, r, 15:37:30.574
149, a, 15:37:30.581
150, c, 15:37:30.587
151, y, 15:37:30.594
152,  , 15:37:30.601
153, i, 15:37:30.621
154, s, 15:37:30.627
155,  , 15:37:30.630
156, t, 15:37:30.632
157, o, 15:37:30.634
158, o, 15:37:30.642
159,  , 15:37:30.649
160, c, 15:37:30.655
161, h, 15:37:30.661
162, a, 15:37:30.669
163, o, 15:37:30.676
164, t, 15:37:30.683
165, i, 15:37:30.689
166, c, 15:37:30.695
167,  , 15:37:30.702
168, a, 15:37:30.709
169, n, 15:37:30.715
170, d, 15:37:30.723
171,  , 15:37:30.729
172, t, 15:37:30.737
173, h, 15:37:30.742
174, e, 15:37:30.750
175,  , 15:37:30.756
176, c, 15:37:30.763
177, o, 15:37:30.770
178, u, 15:37:30.775
179, n, 15:37:30.782
180, t, 15:37:30.790
181, r, 15:37:30.796
182, y, 15:37:30.803
183,  , 15:37:30.809
184, n, 15:37:30.816
185, e, 15:37:30.823
186, e, 15:37:30.831
187, d, 15:37:30.837
188, s, 15:37:30.844
189,  , 15:37:30.851
190, s, 15:37:30.857
191, t, 15:37:30.865
192, r, 15:37:30.871
193, o, 15:37:30.878
194, n, 15:37:30.884
195, g, 15:37:30.892
196, ,, 15:37:30.898
197,  , 15:37:30.905
198, c, 15:37:30.911
199, e, 15:37:30.918
200, n, 15:37:30.924
201, t, 15:37:30.931
202, r, 15:37:30.937
203, a, 15:37:30.944
204, l, 15:37:30.952
205, i, 15:37:30.958
206, z, 15:37:30.964
207, e, 15:37:30.971
208, d, 15:37:30.977
209,  , 15:37:30.985
210, c, 15:37:30.992
211, o, 15:37:30.999
212, n, 15:37:31.004
213, t, 15:37:31.012
214, r, 15:37:31.019
215, o, 15:37:31.025
216, l, 15:37:31.031
217, ., 15:37:31.039
218, ', 15:37:31.045
219,  , 15:37:31.052
220, T, 15:37:31.060
221, h, 15:37:31.067
222, e, 15:37:31.074
223, y, 15:37:31.081
224,  , 15:37:31.087
225, a, 15:37:31.094
226, l, 15:37:31.101
227, s, 15:37:31.107
228, o, 15:37:31.115
229,  , 15:37:31.121
230, s, 15:37:31.131
231, u, 15:37:31.137
232, g, 15:37:31.145
233, g, 15:37:31.149
234, e, 15:37:31.156
235, s, 15:37:31.162
236, t, 15:37:31.169
237, e, 15:37:31.176
238, d, 15:37:31.181
239,  , 15:37:31.189
240, t, 15:37:31.195
241, h, 15:37:31.202
242, a, 15:37:31.209
243, t, 15:37:31.216
244,  , 15:37:31.222
245, c, 15:37:31.228
246, e, 15:37:31.236
247, r, 15:37:31.243
248, t, 15:37:31.250
249, a, 15:37:31.256
250, i, 15:37:31.263
251, n, 15:37:31.269
252,  , 15:37:31.276
253, ', 15:37:31.282
254, u, 15:37:31.289
255, n, 15:37:31.295
256, d, 15:37:31.303
257, e, 15:37:31.310
258, s, 15:37:31.316
259, i, 15:37:31.324
260, r, 15:37:31.330
261, a, 15:37:31.336
262, b, 15:37:31.343
263, l, 15:37:31.350
264, e, 15:37:31.357
265, ', 15:37:31.363
